questions,url
46,https://stackoverflow.com/questions/tagged/ACC
272,https://stackoverflow.com/questions/tagged/ABC
"3,170",https://stackoverflow.com/questions/tagged/ABAP
"2,326",https://stackoverflow.com/questions/tagged/Ada
"2,048",https://stackoverflow.com/questions/tagged/Actor
"4,924",https://stackoverflow.com/questions/tagged/Action!
"9,144",https://stackoverflow.com/questions/tagged/ActionScript
6,https://stackoverflow.com/questions/tagged/AIMMS
808,https://stackoverflow.com/questions/tagged/Agda
35,https://stackoverflow.com/questions/tagged/Agora
26,https://stackoverflow.com/questions/tagged/AngelScript
418,https://stackoverflow.com/questions/tagged/AMPL
327,https://stackoverflow.com/questions/tagged/APL
"8,690",https://stackoverflow.com/questions/tagged/AppleScript
"1,454",https://stackoverflow.com/questions/tagged/APT
"4,516",https://stackoverflow.com/questions/tagged/AutoHotkey
"1,757",https://stackoverflow.com/questions/tagged/AutoIt
"32,470",https://stackoverflow.com/questions/tagged/AWK
"3,805",https://stackoverflow.com/questions/tagged/automatic-ref-counting?tab=Newest
13,https://stackoverflow.com/questions/tagged/Axum
9,https://stackoverflow.com/questions/tagged/BCPL
849,https://stackoverflow.com/questions/tagged/BASIC
360,https://stackoverflow.com/questions/tagged/Ballerina
933,https://stackoverflow.com/questions/tagged/BeanShell
695,https://stackoverflow.com/questions/tagged/BETA
24,https://stackoverflow.com/questions/tagged/Boomerang
9,https://stackoverflow.com/questions/tagged/b-lang?tab=Newest
2,https://stackoverflow.com/questions/tagged/Bosque
"396,036",https://stackoverflow.com/questions/tagged/C
131,https://stackoverflow.com/questions/tagged/Boo
201,https://stackoverflow.com/questions/tagged/Blockly
"396,036",https://stackoverflow.com/questions/tagged/C*
"793,490",https://stackoverflow.com/questions/tagged/C++
4,https://stackoverflow.com/questions/tagged/C%20Shell%20(csh)
644,https://stackoverflow.com/questions/tagged/Caml
114,https://stackoverflow.com/questions/tagged/Ceylon
36,https://stackoverflow.com/questions/tagged/CFEngine
12,https://stackoverflow.com/questions/tagged/Ch
10,https://stackoverflow.com/questions/tagged/Charm
30,https://stackoverflow.com/questions/tagged/CHIP-8
22,https://stackoverflow.com/questions/tagged/ChucK
67,https://stackoverflow.com/questions/tagged/Clarion
"152,738",https://stackoverflow.com/questions/tagged/Bash
60,https://stackoverflow.com/questions/tagged/Clipper
27,https://stackoverflow.com/questions/tagged/CLIST
"17,553",https://stackoverflow.com/questions/tagged/Clojure
728,https://stackoverflow.com/questions/tagged/CLIPS
"1,665",https://stackoverflow.com/questions/tagged/COBOL
53,https://stackoverflow.com/questions/tagged/Cobra
"9,752",https://stackoverflow.com/questions/tagged/CoffeeScript
"14,067",https://stackoverflow.com/questions/tagged/ColdFusion
"9,390",https://stackoverflow.com/questions/tagged/Elixir
"1,880",https://stackoverflow.com/questions/tagged/Elm
508,https://stackoverflow.com/questions/tagged/Emacs%20Lisp
"9,555",https://stackoverflow.com/questions/tagged/Erlang
92,https://stackoverflow.com/questions/tagged/FAUST
61,https://stackoverflow.com/questions/tagged/Fantom
971,https://stackoverflow.com/questions/tagged/fish
"21,487",https://stackoverflow.com/questions/tagged/flexbox?tab=Newest
6,https://stackoverflow.com/questions/tagged/Fortress
275,https://stackoverflow.com/questions/tagged/Forth
"7,223",https://stackoverflow.com/questions/tagged/FOCUS
"6,050",https://stackoverflow.com/questions/tagged/@Formula
"12,732",https://stackoverflow.com/questions/tagged/Fortran
4,https://stackoverflow.com/questions/tagged/Futhark
9,https://stackoverflow.com/questions/tagged/F-Script
708,https://stackoverflow.com/questions/tagged/GDScript%20(Godot)
114,https://stackoverflow.com/questions/tagged/G-code
93,https://stackoverflow.com/questions/tagged/Genie
"69,017",https://stackoverflow.com/questions/tagged/Go
"69,017",https://stackoverflow.com/questions/tagged/Go!
51,https://stackoverflow.com/questions/tagged/gap-system?tab=Newest
8,https://stackoverflow.com/questions/tagged/glsl+opengl+shading
1,https://stackoverflow.com/questions/tagged/Golo
113,https://stackoverflow.com/questions/tagged/Gosu
8,https://stackoverflow.com/questions/tagged/gnu+guile+gnu
122,https://stackoverflow.com/questions/tagged/Grasshopper
79,https://stackoverflow.com/questions/tagged/GRASS
11,https://stackoverflow.com/questions/tagged/Groovy%20(Apache%20Groovy)
"50,594",https://stackoverflow.com/questions/tagged/Haskell
"1,628",https://stackoverflow.com/questions/tagged/Haxe
13,https://stackoverflow.com/questions/tagged/Hopscotch
"1,389",https://stackoverflow.com/questions/tagged/LabVIEW
6,https://stackoverflow.com/questions/tagged/LANSA
12,https://stackoverflow.com/questions/tagged/Lava
158,https://stackoverflow.com/questions/tagged/LilyPond
162,https://stackoverflow.com/questions/tagged/Lean
51,https://stackoverflow.com/questions/tagged/Lingo
119,https://stackoverflow.com/questions/tagged/LIS
"6,891",https://stackoverflow.com/questions/tagged/Lisp
27,https://stackoverflow.com/questions/tagged/Logtalk
"85,834",https://stackoverflow.com/questions/tagged/LINQ
"1,231",https://stackoverflow.com/questions/tagged/LotusScript
193,https://stackoverflow.com/questions/tagged/LPC
644,https://stackoverflow.com/questions/tagged/LiveCode
"21,881",https://stackoverflow.com/questions/tagged/Lua
66,https://stackoverflow.com/questions/tagged/LiveScript
63,https://stackoverflow.com/questions/tagged/Lucid
44,https://stackoverflow.com/questions/tagged/Lustre
114,https://stackoverflow.com/questions/tagged/Lynx
68,https://stackoverflow.com/questions/tagged/linden-scripting-language?tab=Newest
211,https://stackoverflow.com/questions/tagged/M4
"1,092",https://stackoverflow.com/questions/tagged/M
1,https://stackoverflow.com/questions/tagged/Magik
39,https://stackoverflow.com/questions/tagged/Magma
631,https://stackoverflow.com/questions/tagged/Maple
640,https://stackoverflow.com/questions/tagged/MAPPER
"94,328",https://stackoverflow.com/questions/tagged/MATLAB
298,https://stackoverflow.com/questions/tagged/MaxScript
829,https://stackoverflow.com/questions/tagged/Maxima
337,https://stackoverflow.com/questions/tagged/Maya%20(MEL)
"8,934",https://stackoverflow.com/questions/tagged/Max
215,https://stackoverflow.com/questions/tagged/Mesa
43,https://stackoverflow.com/questions/tagged/Mercury
21,https://stackoverflow.com/questions/tagged/Miranda
19,https://stackoverflow.com/questions/tagged/Mirah
670,https://stackoverflow.com/questions/tagged/ML
7,https://stackoverflow.com/questions/tagged/Malbolge
"1,278",https://stackoverflow.com/questions/tagged/Modelica
1,https://stackoverflow.com/questions/tagged/Modula-3
240,https://stackoverflow.com/questions/tagged/Mojo
18,https://stackoverflow.com/questions/tagged/Modula-2
56,https://stackoverflow.com/questions/tagged/MOO
112,https://stackoverflow.com/questions/tagged/MPD
"4,353",https://stackoverflow.com/questions/tagged/Mouse
83,https://stackoverflow.com/questions/tagged/MUMPS
82,https://stackoverflow.com/questions/tagged/MuPAD
55,https://stackoverflow.com/questions/tagged/Neko
58,https://stackoverflow.com/questions/tagged/Nemerle
2,https://stackoverflow.com/questions/tagged/NetRexx
"4,963",https://stackoverflow.com/questions/tagged/NASM
6,https://stackoverflow.com/questions/tagged/Newspeak
6,https://stackoverflow.com/questions/tagged/NewtonScript
"4,070",https://stackoverflow.com/questions/tagged/NetLogo
19,https://stackoverflow.com/questions/tagged/NewLISP
"2,552",https://stackoverflow.com/questions/tagged/NSIS
71,https://stackoverflow.com/questions/tagged/Oak
"5,786",https://stackoverflow.com/questions/tagged/Racket
"1,965",https://stackoverflow.com/questions/tagged/Raku
255,https://stackoverflow.com/questions/tagged/rc
695,https://stackoverflow.com/questions/tagged/REBOL
5,https://stackoverflow.com/questions/tagged/Redcode
247,https://stackoverflow.com/questions/tagged/Red
360,https://stackoverflow.com/questions/tagged/Reason
164,https://stackoverflow.com/questions/tagged/REXX
271,https://stackoverflow.com/questions/tagged/RPG
476,https://stackoverflow.com/questions/tagged/Ring
26,https://stackoverflow.com/questions/tagged/RPL
61,https://stackoverflow.com/questions/tagged/RSL
"36,390",https://stackoverflow.com/questions/tagged/Rust
30,https://stackoverflow.com/questions/tagged/S
25,https://stackoverflow.com/questions/tagged/S2
4,https://stackoverflow.com/questions/tagged/S-Lang
27,https://stackoverflow.com/questions/tagged/S-PLUS
"15,445",https://stackoverflow.com/questions/tagged/SAS
415,https://stackoverflow.com/questions/tagged/SASL
"227,849",https://stackoverflow.com/questions/tagged/Ruby
"111,367",https://stackoverflow.com/questions/tagged/Scala
839,https://stackoverflow.com/questions/tagged/Scilab
"49,233",https://stackoverflow.com/questions/tagged/amazon-s3?tab=Newest
"8,077",https://stackoverflow.com/questions/tagged/Scheme
"28,346",https://stackoverflow.com/questions/tagged/Sed
"1,535",https://stackoverflow.com/questions/tagged/Self
261,https://stackoverflow.com/questions/tagged/mit-scratch?tab=Newest
2,https://stackoverflow.com/questions/tagged/SIMSCRIPT
2,https://stackoverflow.com/questions/tagged/Serpent
"2,852",https://stackoverflow.com/questions/tagged/Simulink
"1,693",https://stackoverflow.com/questions/tagged/Smalltalk
"2,072",https://stackoverflow.com/questions/tagged/SML
103,https://stackoverflow.com/questions/tagged/Snap!
4,https://stackoverflow.com/questions/tagged/SNOBOL
"7,236",https://stackoverflow.com/questions/tagged/signals?tab=Newest
11,https://stackoverflow.com/questions/tagged/Speakeasy
71,https://stackoverflow.com/questions/tagged/Snowball
"6,491",https://stackoverflow.com/questions/tagged/Solidity
154,https://stackoverflow.com/questions/tagged/SPIN
"660,403",https://stackoverflow.com/questions/tagged/SQL
71,https://stackoverflow.com/questions/tagged/SQR
411,https://stackoverflow.com/questions/tagged/Squeak
40,https://stackoverflow.com/questions/tagged/Squirrel
125,https://stackoverflow.com/questions/tagged/Stateflow
16,https://stackoverflow.com/questions/tagged/Subtext
127,https://stackoverflow.com/questions/tagged/SuperCollider
"4,468",https://stackoverflow.com/questions/tagged/Stata
15,https://stackoverflow.com/questions/tagged/TAL
"7,801",https://stackoverflow.com/questions/tagged/Tcl
858,https://stackoverflow.com/questions/tagged/TeX
7,https://stackoverflow.com/questions/tagged/Tom
86,https://stackoverflow.com/questions/tagged/TIE
"80,242",https://stackoverflow.com/questions/tagged/apache-spark?tab=Newest
719,https://stackoverflow.com/questions/tagged/Trac
